iter	Logloss
200	0.4366940187
201	0.4365857076
202	0.4364695385
203	0.4363738017
204	0.4362503596
205	0.4361381615
206	0.4359701763
207	0.4358503157
208	0.4356797273
209	0.4355903633
210	0.4354689731
211	0.4353456194
212	0.4351917542
213	0.435039684
214	0.4348693747
215	0.434759764
216	0.4346678455
217	0.4345260432
218	0.4344368459
219	0.4343028408
220	0.4341294353
221	0.4339925254
222	0.4338442823
223	0.4337183115
224	0.4336514621
225	0.433490825
226	0.4333838826
227	0.4332839268
228	0.4331309659
229	0.4329339911
230	0.4327746235
231	0.4326631437
232	0.4325673514
233	0.4324343854
234	0.4322937464
235	0.4321242801
236	0.4319951874
237	0.4318895286
238	0.431763313
239	0.4316037944
240	0.4315256378
241	0.4314122188
242	0.4312797087
243	0.4311273915
244	0.4309809659
245	0.4308701865
246	0.4307267376
247	0.4305618342
248	0.4304941713
249	0.430301828
250	0.430206805
251	0.4300488083
252	0.4299345238
253	0.4298490774
254	0.4296925867
255	0.4295589768
256	0.429334445
257	0.4292185047
258	0.4291447203
259	0.4290401203
260	0.4289268078
261	0.4288322597
262	0.4286719253
263	0.4285113419
264	0.4284137984
265	0.4283156703
266	0.4281976879
267	0.4280823152
268	0.4279875642
269	0.4279093792
270	0.4277454494
271	0.4276274076
272	0.4274845468
273	0.4273161818
274	0.4272043962
275	0.4270481415
276	0.4269620323
277	0.4268839273
278	0.4267430557
279	0.426702944
280	0.4265869906
281	0.4264586116
282	0.4262956102
283	0.4261331953
284	0.4259875129
285	0.4258100126
286	0.4257290662
287	0.4255593385
288	0.4254649539
289	0.4253598653
290	0.4252011897
291	0.4250961732
292	0.4250808443
293	0.4248835736
294	0.4247416085
295	0.4246428191
296	0.4244969569
297	0.4243303183
298	0.4242326284
299	0.4240904413
300	0.4239540897
301	0.4238355292
302	0.4237645847
303	0.4236800557
304	0.4235425246
305	0.4234545358
306	0.423293447
307	0.4232132208
308	0.423099783
309	0.4229868386
310	0.4228398333
311	0.4227586638
312	0.4226228774
313	0.4224698276
314	0.4224072415
315	0.4223861855
316	0.4223054785
317	0.4221842933
318	0.422102105
319	0.421969131
320	0.4218975777
321	0.4217713147
322	0.4216581357
323	0.421564983
324	0.421404692
325	0.4212439786
326	0.421113157
327	0.4210084481
328	0.420866144
329	0.4207837791
330	0.4206494876
331	0.4205242986
332	0.4203589067
333	0.4202227651
334	0.4201150791
335	0.4199734293
336	0.4198822868
337	0.419735693
338	0.4195871498
339	0.419459363
340	0.4193582962
341	0.4192111721
342	0.4191282953
343	0.4190349406
344	0.418951162
345	0.4188586042
346	0.4187554266
347	0.4186279537
348	0.4184905031
349	0.4184061223
350	0.418320882
351	0.418228389
352	0.4181260244
353	0.4180204875
354	0.4179563448
355	0.4178165218
356	0.4177442866
357	0.4176154981
358	0.4175438582
359	0.4173827261
360	0.4172873783
361	0.4171816607
362	0.4170755643
363	0.4169299091
364	0.4167840655
365	0.4166559572
366	0.4165441758
367	0.4163901512
368	0.4162737709
369	0.4161653185
370	0.416032964
371	0.4159664742
372	0.4157897977
373	0.4156658855
374	0.4155328448
375	0.4154292035
376	0.4154151691
377	0.4153169029
378	0.4151837048
379	0.4150739996
380	0.4149620394
381	0.4148193894
382	0.4148047106
383	0.4146973836
384	0.4146242416
385	0.4145413258
386	0.4144244053
387	0.4143084357
388	0.4142947024
389	0.4142250046
390	0.4141058718
391	0.4139746903
392	0.413893678
393	0.413782161
394	0.4136550692
395	0.4135585168
396	0.4134449145
397	0.4133238895
398	0.4131882423
399	0.4131070975
400	0.4130479395
401	0.412969782
402	0.4128434156
403	0.4127161388
404	0.412656891
405	0.4125861221
406	0.4124858011
407	0.4123320735
408	0.4122428448
409	0.4121631602
410	0.4120803626
411	0.4119402891
412	0.4117807531
413	0.4116726716
414	0.411582202
415	0.4115020404
416	0.4114115232
417	0.4112906756
418	0.411140283
419	0.4110716551
420	0.4108870382
421	0.4107948014
422	0.4106633883
423	0.4105314091
424	0.4103739528
425	0.4102893352
426	0.4102609478
427	0.4101494904
428	0.4100579329
429	0.4099987455
430	0.4099224979
431	0.4097658195
432	0.4097519774
433	0.4096719282
434	0.4095628124
435	0.4094458401
436	0.4094094401
437	0.4093432408
438	0.4092781691
439	0.4091605698
440	0.4090219988
441	0.4089561282
442	0.4088639171
443	0.4088028978
444	0.4087096
445	0.4085940643
446	0.4084783973
447	0.4083856384
448	0.4082429789
449	0.4081759416
450	0.408085864
451	0.4079761304
452	0.4078905201
453	0.4078555714
454	0.4077663114
455	0.407686891
456	0.4076094388
457	0.4074790938
458	0.4073667998
459	0.4072455465
460	0.4071071126
461	0.4070121794
462	0.4069144444
463	0.4068496709
464	0.4067206451
465	0.4066309039
466	0.4065767075
467	0.4064867091
468	0.4063768533
469	0.4062533284
470	0.4061499327
471	0.4060227029
472	0.4059284306
473	0.4058333948
474	0.4057280783
475	0.4056179763
476	0.4055206288
477	0.4054652637
478	0.4053486573
479	0.4052656959
480	0.4052024829
481	0.4050862002
482	0.404972935
483	0.404868883
484	0.4047386816
485	0.4047334484
486	0.40467805
487	0.4046158448
488	0.4045199125
489	0.4044359585
490	0.4043504907
491	0.4042486935
492	0.4041639357
493	0.4040238691
494	0.403959482
495	0.4038246729
496	0.40368834
497	0.40360494
498	0.4035536568
499	0.4034524383
500	0.4033755348
501	0.4032667146
502	0.4031429547
503	0.4030274989
504	0.4029707103
505	0.4028710091
506	0.4027964348
507	0.4027744638
508	0.4026858228
509	0.4025630837
510	0.402485806
511	0.402416368
512	0.4022976229
513	0.4022098763
514	0.4021307077
515	0.4020579773
516	0.401929006
517	0.4018292645
518	0.401736049
519	0.4016048129
520	0.4015574828
521	0.4014475736
522	0.4013463798
523	0.4012107484
524	0.4011044294
525	0.4009972404
526	0.4008873157
527	0.4007848224
528	0.4006344548
529	0.4005776784
530	0.4005513267
531	0.4005145026
532	0.4004748916
533	0.4003665213
534	0.4003546058
535	0.4002766003
536	0.4001572581
537	0.4000594241
538	0.3999971785
539	0.3999560215
540	0.399832852
541	0.3997130504
542	0.3996031704
543	0.3995138391
544	0.3994090039
545	0.399322223
546	0.3991825624
547	0.399080462
548	0.3989944779
549	0.3989218758
550	0.3988147316
551	0.3987223196
552	0.3985828417
553	0.3984957343
554	0.3984311877
555	0.3983125484
556	0.398239618
557	0.3981315958
558	0.3981059983
559	0.397957167
560	0.3979379986
561	0.3978403692
562	0.3977632279
563	0.3976577848
564	0.3975388117
565	0.3974753654
566	0.3974105967
567	0.3973007833
568	0.3972302658
569	0.3971534435
570	0.3970588624
571	0.3969601152
572	0.3968554278
573	0.3967396799
574	0.3966396262
575	0.3965791334
576	0.3965031406
577	0.3964083271
578	0.3963011236
579	0.3962236736
580	0.3961003036
581	0.3959992609
582	0.3958446604
583	0.3957713075
584	0.3956311904
585	0.3955277957
586	0.3955187949
587	0.3954305056
588	0.3953191937
589	0.3952427217
590	0.3951225305
591	0.3950232281
592	0.3948988226
593	0.3948548469
594	0.3947308704
595	0.3946355672
596	0.3945083826
597	0.3944121965
598	0.3943167793
599	0.3942389363
600	0.3942310867
601	0.3941542996
602	0.3940822986
603	0.3939846137
604	0.3938452884
605	0.393782061
606	0.3937688132
607	0.3937253011
608	0.3936396006
609	0.3935255881
610	0.3934342021
611	0.3933225331
612	0.3932537441
613	0.3932021755
614	0.3931197762
615	0.3930567668
616	0.3929624482
617	0.3928921964
618	0.3928184331
619	0.3927267958
620	0.3926247544
621	0.3925290256
622	0.392488575
623	0.3924771031
624	0.3923578235
625	0.3922517314
626	0.3921545425
627	0.3919947397
628	0.3919240066
629	0.3918336461
630	0.3917617103
631	0.3916796956
632	0.391595455
633	0.3914646159
634	0.3914189601
635	0.3913431272
636	0.3912721629
637	0.3912525159
638	0.391170305
639	0.3910605363
640	0.3909503639
641	0.3908566976
642	0.390796901
643	0.3906951858
644	0.3905956338
645	0.3905563739
646	0.3904651198
647	0.3903541184
648	0.3902448917
649	0.3901882485
650	0.3901149503
651	0.3899812428
652	0.3899095688
653	0.3898141678
654	0.3897570666
655	0.3896903849
656	0.3895415589
657	0.3894862502
658	0.3894220323
659	0.3893193123
660	0.3892444691
661	0.3891562104
662	0.3890786791
663	0.3890555739
664	0.3889745078
665	0.388883995
666	0.3888745779
667	0.3887789695
668	0.3886853471
669	0.3886171199
670	0.388526238
671	0.3884459406
672	0.388341037
673	0.3882883456
674	0.3882422874
675	0.3881387216
676	0.3880355225
677	0.3879468475
678	0.3878614333
679	0.3877614486
680	0.3876563984
681	0.3875567212
682	0.387459979
683	0.38738166
684	0.3872997377
685	0.3872029023
686	0.387141147
687	0.3870675581
688	0.3869677664
689	0.3869361402
690	0.3868375367
691	0.3867148946
692	0.3865920644
693	0.3865349785
694	0.3864180164
695	0.3863413198
696	0.3862550696
697	0.386172403
698	0.3860950571
699	0.3859886324
700	0.3858907966
701	0.3857796136
702	0.3857193285
703	0.3856233773
704	0.3855279769
705	0.3854451642
706	0.3853456886
707	0.3852707045
708	0.3851699353
709	0.3851241907
710	0.3850585609
711	0.3849947496
712	0.3849492003
713	0.3848529158
714	0.3847764412
715	0.3846493982
716	0.384563203
717	0.3844902238
718	0.3844157394
719	0.3843395132
720	0.3842045069
721	0.3841066029
722	0.3840474176
723	0.3839828154
724	0.3839356831
725	0.3838389249
726	0.3837326769
727	0.3836572582
728	0.3835723964
729	0.3834991299
730	0.3834310032
731	0.3833435982
732	0.3832449023
733	0.3831729704
734	0.3830611106
735	0.382959209
736	0.3829105467
737	0.3827996594
738	0.3827047576
739	0.3825964496
740	0.3825286924
741	0.3824183038
742	0.3823926382
743	0.3823441515
744	0.3822512424
745	0.3822071954
746	0.3821072053
747	0.382012349
748	0.3819673374
749	0.3818870926
750	0.3818053149
751	0.3817501145
752	0.3816811368
753	0.3816670191
754	0.3815919052
755	0.3815293808
756	0.3814089753
757	0.3813160064
758	0.3812412755
759	0.3811665807
760	0.3810875243
761	0.3810009907
762	0.3809056133
763	0.3808626245
764	0.3807482475
765	0.3806680707
766	0.3805799298
767	0.3805340564
768	0.3804657288
769	0.3804357882
770	0.380342462
771	0.3802583052
772	0.3801176677
773	0.3800214142
774	0.3799123487
775	0.3798206532
776	0.3797226691
777	0.3796277997
778	0.3795525923
779	0.3795102822
780	0.3794489143
781	0.3793708212
782	0.3792912362
783	0.3791651925
784	0.3790808323
785	0.3789558363
786	0.3788818026
787	0.3788043021
788	0.3787108291
789	0.3786477294
790	0.3785264192
791	0.3784629728
792	0.3783764232
793	0.3782971034
794	0.3782009072
795	0.3781130675
796	0.3780690563
797	0.3779910133
798	0.3778545736
799	0.3778229241
800	0.377781035
801	0.3776814132
802	0.3775819888
803	0.3774596065
804	0.3773603352
805	0.3772659475
806	0.3771819507
807	0.3771232832
808	0.3770232137
809	0.3769103244
810	0.3767911994
811	0.3767255164
812	0.3766796362
813	0.3765783247
814	0.3764771158
815	0.3763976084
816	0.3763301319
817	0.3762410275
818	0.3761841879
819	0.3761204812
820	0.3760503853
821	0.3759518163
822	0.3758857878
823	0.3757694852
824	0.3757063685
825	0.3756576405
826	0.3755773143
827	0.3755142427
828	0.3754475359
829	0.3753633299
830	0.3752781988
831	0.3752072919
832	0.3750933129
833	0.3750311748
834	0.3749547909
835	0.3749026984
836	0.3748218465
837	0.3747122651
838	0.374593153
839	0.3745539271
840	0.3744634802
841	0.3743799102
842	0.3742751016
843	0.3741757104
844	0.3741166871
845	0.3740004508
846	0.3738840184
847	0.3738220169
848	0.3737200782
849	0.3736099573
850	0.3735245164
851	0.3734389003
852	0.3733586611
853	0.3732849463
854	0.3732087632
855	0.3731852951
856	0.3730957856
857	0.3730001699
858	0.3729429744
859	0.3728499167
860	0.3727659238
861	0.3726829776
862	0.3726237937
863	0.3725855808
864	0.372494034
865	0.3724457291
866	0.3723825666
867	0.3723425549
868	0.3722839699
869	0.3722197401
870	0.3721347494
871	0.3720637643
872	0.3720401526
873	0.3718936513
874	0.3717886094
875	0.3717285459
876	0.3716503637
877	0.3715775264
878	0.3715051672
879	0.3714371823
880	0.3713746434
881	0.371306672
882	0.371233126
883	0.3711666946
884	0.3710788079
885	0.3709801022
886	0.3708876033
887	0.3707803994
888	0.3707047468
889	0.3706130831
890	0.3705277022
891	0.3704304675
892	0.3703253798
893	0.3702888047
894	0.3702516952
895	0.3701805293
896	0.3701226046
897	0.3700090978
898	0.3699270291
899	0.3698606929
900	0.369818266
901	0.3697509166
902	0.3696756081
903	0.3695888521
904	0.3695195535
905	0.3694379251
906	0.3692997309
907	0.3692027015
908	0.3691166382
909	0.3690932068
910	0.3689833128
911	0.368950029
912	0.368859325
913	0.3687889818
914	0.3687388508
915	0.3686519412
916	0.3685663096
917	0.3684970464
918	0.3684827133
919	0.3684012342
920	0.3683236955
921	0.3683222867
922	0.3682593253
923	0.3682002852
924	0.3681471248
925	0.3680549152
926	0.3680074443
927	0.3679153436
928	0.3678280123
929	0.3677384449
930	0.3677199655
931	0.3676224586
932	0.367535257
933	0.3674850444
934	0.3674250854
935	0.3673281071
936	0.3672359244
937	0.3671740879
938	0.3670596981
939	0.3669648695
940	0.3669094291
941	0.3668967613
942	0.3667992535
943	0.3666764676
944	0.3665862562
945	0.3665047877
946	0.366434119
947	0.3663381573
948	0.3662923397
949	0.3661996653
950	0.3660928391
951	0.3660217852
952	0.3659239882
953	0.3658381363
954	0.3658343499
955	0.3657665516
956	0.3656776147
957	0.3655802076
958	0.3655474223
959	0.3654516096
960	0.3654495619
961	0.3653477094
962	0.3653080677
963	0.3652748189
964	0.3651670079
965	0.3651238536
966	0.3650374569
967	0.3649749436
968	0.3649018003
969	0.3648346418
970	0.3647530744
971	0.3647008331
972	0.3646420942
973	0.364581713
974	0.364575748
975	0.3644869609
976	0.3644457834
977	0.3643668899
978	0.3643102471
979	0.3642599257
980	0.3641876336
981	0.3640960362
982	0.3640325731
983	0.3639629344
984	0.3639589793
985	0.3639566844
986	0.3638920549
987	0.3638513763
988	0.3637938058
989	0.3636767848
990	0.3635814174
991	0.36353726
992	0.363481558
993	0.3633661524
994	0.363304179
995	0.3632077153
996	0.363155431
997	0.363050269
998	0.3629924899
999	0.3629542296
